sheet,points,geotiff,annotation_file,iiif_manifest,overview,native
36,https://dataverse.harvard.edu/api/access/datafile/7002875,https://dataverse.harvard.edu/api/access/datafile/7002538,https://dataverse.harvard.edu/api/access/datafile/7002664,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f38,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f38.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f38/full/full/0/native.jpg
37,https://dataverse.harvard.edu/api/access/datafile/7002722,https://dataverse.harvard.edu/api/access/datafile/7002485,https://dataverse.harvard.edu/api/access/datafile/7002808,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f39,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f39.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f39/full/full/0/native.jpg
38,https://dataverse.harvard.edu/api/access/datafile/7002586,https://dataverse.harvard.edu/api/access/datafile/7002802,https://dataverse.harvard.edu/api/access/datafile/7002824,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f40,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f40.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f40/full/full/0/native.jpg
39,https://dataverse.harvard.edu/api/access/datafile/7002852,https://dataverse.harvard.edu/api/access/datafile/7002850,https://dataverse.harvard.edu/api/access/datafile/7002534,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f41,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f41.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f41/full/full/0/native.jpg
40,https://dataverse.harvard.edu/api/access/datafile/7002579,https://dataverse.harvard.edu/api/access/datafile/7002592,https://dataverse.harvard.edu/api/access/datafile/7002612,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f42,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f42.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f42/full/full/0/native.jpg
41,https://dataverse.harvard.edu/api/access/datafile/7002810,https://dataverse.harvard.edu/api/access/datafile/7002699,https://dataverse.harvard.edu/api/access/datafile/7002511,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f43,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f43.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f43/full/full/0/native.jpg
42,https://dataverse.harvard.edu/api/access/datafile/7002528,https://dataverse.harvard.edu/api/access/datafile/7002569,https://dataverse.harvard.edu/api/access/datafile/7002670,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f44,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f44.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f44/full/full/0/native.jpg
43,https://dataverse.harvard.edu/api/access/datafile/7002847,https://dataverse.harvard.edu/api/access/datafile/7002805,https://dataverse.harvard.edu/api/access/datafile/7002811,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f45,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f45.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f45/full/full/0/native.jpg
44,https://dataverse.harvard.edu/api/access/datafile/7002837,https://dataverse.harvard.edu/api/access/datafile/7002478,https://dataverse.harvard.edu/api/access/datafile/7002723,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f46,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f46.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f46/full/full/0/native.jpg
45,https://dataverse.harvard.edu/api/access/datafile/7002883,https://dataverse.harvard.edu/api/access/datafile/7002613,https://dataverse.harvard.edu/api/access/datafile/7002888,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f47,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f47.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f47/full/full/0/native.jpg
46,https://dataverse.harvard.edu/api/access/datafile/7002611,https://dataverse.harvard.edu/api/access/datafile/7002865,https://dataverse.harvard.edu/api/access/datafile/7002851,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f48,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f48.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f48/full/full/0/native.jpg
47,https://dataverse.harvard.edu/api/access/datafile/7002532,https://dataverse.harvard.edu/api/access/datafile/7002474,https://dataverse.harvard.edu/api/access/datafile/7002546,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f49,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f49.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f49/full/full/0/native.jpg
48,https://dataverse.harvard.edu/api/access/datafile/7002530,https://dataverse.harvard.edu/api/access/datafile/7002703,https://dataverse.harvard.edu/api/access/datafile/7002757,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f50,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f50.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f50/full/full/0/native.jpg
49,https://dataverse.harvard.edu/api/access/datafile/7002508,https://dataverse.harvard.edu/api/access/datafile/7002792,https://dataverse.harvard.edu/api/access/datafile/7002693,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f51,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f51.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f51/full/full/0/native.jpg
50,https://dataverse.harvard.edu/api/access/datafile/7002659,https://dataverse.harvard.edu/api/access/datafile/7002762,https://dataverse.harvard.edu/api/access/datafile/7002879,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f52,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f52.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f52/full/full/0/native.jpg
51,https://dataverse.harvard.edu/api/access/datafile/7002610,https://dataverse.harvard.edu/api/access/datafile/7002593,https://dataverse.harvard.edu/api/access/datafile/7002813,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f53,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f53.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f53/full/full/0/native.jpg
52,https://dataverse.harvard.edu/api/access/datafile/7002676,https://dataverse.harvard.edu/api/access/datafile/7002841,https://dataverse.harvard.edu/api/access/datafile/7002501,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f54,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f54.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f54/full/full/0/native.jpg
53,https://dataverse.harvard.edu/api/access/datafile/7002574,https://dataverse.harvard.edu/api/access/datafile/7002599,https://dataverse.harvard.edu/api/access/datafile/7002601,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f55,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f55.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f55/full/full/0/native.jpg
54,https://dataverse.harvard.edu/api/access/datafile/7002517,https://dataverse.harvard.edu/api/access/datafile/7002482,https://dataverse.harvard.edu/api/access/datafile/7002809,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f56,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f56.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f56/full/full/0/native.jpg
55,https://dataverse.harvard.edu/api/access/datafile/7002753,https://dataverse.harvard.edu/api/access/datafile/7002835,https://dataverse.harvard.edu/api/access/datafile/7002658,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f57,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f57.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f57/full/full/0/native.jpg
56,https://dataverse.harvard.edu/api/access/datafile/7002565,https://dataverse.harvard.edu/api/access/datafile/7002578,https://dataverse.harvard.edu/api/access/datafile/7002608,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f58,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f58.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f58/full/full/0/native.jpg
57,https://dataverse.harvard.edu/api/access/datafile/7002488,https://dataverse.harvard.edu/api/access/datafile/7002616,https://dataverse.harvard.edu/api/access/datafile/7002816,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f59,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f59.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f59/full/full/0/native.jpg
58,https://dataverse.harvard.edu/api/access/datafile/7002504,https://dataverse.harvard.edu/api/access/datafile/7002800,https://dataverse.harvard.edu/api/access/datafile/7002702,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f60,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f60.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f60/full/full/0/native.jpg
59,https://dataverse.harvard.edu/api/access/datafile/7002858,https://dataverse.harvard.edu/api/access/datafile/7002735,https://dataverse.harvard.edu/api/access/datafile/7002821,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f61,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f61.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f61/full/full/0/native.jpg
60,https://dataverse.harvard.edu/api/access/datafile/7002562,https://dataverse.harvard.edu/api/access/datafile/7002745,https://dataverse.harvard.edu/api/access/datafile/7002876,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f62,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f62.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f62/full/full/0/native.jpg
61,https://dataverse.harvard.edu/api/access/datafile/7002756,https://dataverse.harvard.edu/api/access/datafile/7002783,https://dataverse.harvard.edu/api/access/datafile/7002768,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f63,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f63.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f63/full/full/0/native.jpg
62,https://dataverse.harvard.edu/api/access/datafile/7002618,https://dataverse.harvard.edu/api/access/datafile/7002848,https://dataverse.harvard.edu/api/access/datafile/7002540,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f64,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f64.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f64/full/full/0/native.jpg
63,https://dataverse.harvard.edu/api/access/datafile/7002476,https://dataverse.harvard.edu/api/access/datafile/7002691,https://dataverse.harvard.edu/api/access/datafile/7002754,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f65,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f65.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f65/full/full/0/native.jpg
64,https://dataverse.harvard.edu/api/access/datafile/7002690,https://dataverse.harvard.edu/api/access/datafile/7002860,https://dataverse.harvard.edu/api/access/datafile/7002606,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f66,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f66.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f66/full/full/0/native.jpg
65,https://dataverse.harvard.edu/api/access/datafile/7002596,https://dataverse.harvard.edu/api/access/datafile/7002535,https://dataverse.harvard.edu/api/access/datafile/7002587,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f67,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f67.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f67/full/full/0/native.jpg
66,https://dataverse.harvard.edu/api/access/datafile/7002667,https://dataverse.harvard.edu/api/access/datafile/7002833,https://dataverse.harvard.edu/api/access/datafile/7002882,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f68,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f68.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f68/full/full/0/native.jpg
67,https://dataverse.harvard.edu/api/access/datafile/7002749,https://dataverse.harvard.edu/api/access/datafile/7002524,https://dataverse.harvard.edu/api/access/datafile/7002459,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f69,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f69.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f69/full/full/0/native.jpg
68,https://dataverse.harvard.edu/api/access/datafile/7002799,https://dataverse.harvard.edu/api/access/datafile/7002479,https://dataverse.harvard.edu/api/access/datafile/7002866,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f70,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f70.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f70/full/full/0/native.jpg
69,https://dataverse.harvard.edu/api/access/datafile/7002711,https://dataverse.harvard.edu/api/access/datafile/7002760,https://dataverse.harvard.edu/api/access/datafile/7002660,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f71,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f71.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f71/full/full/0/native.jpg
70,https://dataverse.harvard.edu/api/access/datafile/7002519,https://dataverse.harvard.edu/api/access/datafile/7002772,https://dataverse.harvard.edu/api/access/datafile/7002473,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f72,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f72.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f72/full/full/0/native.jpg
71,https://dataverse.harvard.edu/api/access/datafile/7002769,https://dataverse.harvard.edu/api/access/datafile/7002838,https://dataverse.harvard.edu/api/access/datafile/7002725,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f73,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f73.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f73/full/full/0/native.jpg
72,https://dataverse.harvard.edu/api/access/datafile/7002854,https://dataverse.harvard.edu/api/access/datafile/7002700,https://dataverse.harvard.edu/api/access/datafile/7002870,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/canvas/f74,https://gallica.bnf.fr/ark:/12148/btv1b53243704g/f74.thumbnail,https://gallica.bnf.fr/iiif/ark:/12148/btv1b53243704g/f74/full/full/0/native.jpg
